cod_departamento,departamento,anio,biologico,cobertura_vacunacion,estado_indicador,rango_bajo_inicio,rango_bajo_fin,rango_medio_inicio,rango_medio_fin,rango_adecuado_inicio,rango_adecuado_fin,cobertura_original,cobertura_porcentaje,nivel_cobertura
5,Antioquia,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.9511,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9511,95.11,Alta
8,Atlántico,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.9845,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9845,98.45,Alta
11,Bogotá  D.C.,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.8932,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8932,89.32,Media
13,Bolívar,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.873,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.873,87.3,Media
15,Boyacá,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.9797,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9797,97.97,Alta
17,Caldas,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.9624,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9624,96.24000000000001,Alta
18,Caquetá,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.9084,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.9084,90.84,Adecuada
19,Cauca,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.903,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.903,90.3,Adecuada
20,Cesar,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,1.0143,IndicatorState3,0,49.99,80,89.99,90,94.99,10143.0,101.42999999999999,Alta
23,Córdoba,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.8704,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8704,87.03999999999999,Media
25,Cundinamarca,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.971,IndicatorState2,0,49.99,80,89.99,90,94.99,0.971,97.1,Alta
27,Chocó,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.8286,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8286,82.86,Media
41,Huila,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.923,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.923,92.30000000000001,Adecuada
44,La Guajira,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.9573,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9573,95.73,Alta
47,Magdalena,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.9478,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.9478,94.78,Adecuada
50,Meta,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.9204,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.9204,92.04,Adecuada
52,Nariño,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.8603,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8603,86.03,Media
54,Norte de Santander,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.9984,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9984,99.83999999999999,Alta
63,Quindio,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.9234,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.9234,92.34,Adecuada
66,Risaralda,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.9875,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9875,98.75,Alta
68,Santander,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.8642,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8642,86.42,Media
70,Sucre,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,1.0213,IndicatorState3,0,49.99,80,89.99,90,94.99,10213.0,102.13000000000001,Alta
73,Tolima,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.9452,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.9452,94.52000000000001,Adecuada
76,Valle del Cauca,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.9649,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9649,96.49,Alta
81,Arauca,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,1.1514,IndicatorState3,0,49.99,80,89.99,90,94.99,11514.0,115.14,Alta
85,Casanare,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.9655,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9655,96.55,Alta
86,Putumayo,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.9805,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9805,98.05,Alta
88,Archipiélago de San Andrés Providencia y Santa Catalina,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.8933,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8933,89.33,Media
91,Amazonas,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.9106,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.9106,91.06,Adecuada
94,Guainía,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,1.0923,IndicatorState3,0,49.99,80,89.99,90,94.99,10923.0,109.23,Alta
95,Guaviare,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,1.0289,IndicatorState3,0,49.99,80,89.99,90,94.99,10289.0,102.88999999999999,Alta
97,Vaupés,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.7668,IndicatorState1,0,49.99,80,89.99,90,94.99,0.7668,76.68,Baja
99,Vichada,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.6898,IndicatorState1,0,49.99,80,89.99,90,94.99,0.6898,68.97999999999999,Baja
5,Antioquia,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
8,Atlántico,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
11,Bogotá  D.C.,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
13,Bolívar,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
15,Boyacá,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
17,Caldas,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
18,Caquetá,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
19,Cauca,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
20,Cesar,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
23,Córdoba,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
25,Cundinamarca,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
27,Chocó,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
41,Huila,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
44,La Guajira,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
47,Magdalena,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
50,Meta,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
52,Nariño,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
54,Norte de Santander,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
63,Quindio,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
66,Risaralda,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
68,Santander,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
70,Sucre,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
73,Tolima,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
76,Valle del Cauca,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
81,Arauca,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
85,Casanare,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
86,Putumayo,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
88,Archipiélago de San Andrés Providencia y Santa Catalina,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
91,Amazonas,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
94,Guainía,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
95,Guaviare,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
97,Vaupés,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
99,Vichada,2019,N2D - Neumococo Mayor a 1 Año 2a. Dosis,0.0,ThreeSymbolUnCircledCross,0,49.99,80,89.99,90,94.99,0.0,0.0,Muy baja
5,Antioquia,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.9511,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9511,95.11,Alta
8,Atlántico,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.988,IndicatorState2,0,49.99,80,89.99,90,94.99,0.988,98.8,Alta
11,Bogotá  D.C.,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.9257,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.9257,92.57,Adecuada
13,Bolívar,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.9015,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.9015,90.14999999999999,Adecuada
15,Boyacá,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.9311,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.9311,93.11,Adecuada
17,Caldas,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.9652,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9652,96.52,Alta
18,Caquetá,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.9384,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.9384,93.84,Adecuada
19,Cauca,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.905,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.905,90.5,Adecuada
20,Cesar,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.988,IndicatorState2,0,49.99,80,89.99,90,94.99,0.988,98.8,Alta
23,Córdoba,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.8859,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8859,88.59,Media
25,Cundinamarca,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.9668,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9668,96.67999999999999,Alta
27,Chocó,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.8615,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8615,86.15,Media
41,Huila,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.9306,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.9306,93.06,Adecuada
44,La Guajira,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.9904,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9904,99.03999999999999,Alta
47,Magdalena,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.9386,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.9386,93.86,Adecuada
50,Meta,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.9567,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9567,95.67,Alta
52,Nariño,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.8855,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8855,88.55,Media
54,Norte de Santander,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.9777,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9777,97.77,Alta
63,Quindio,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.9549,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9549,95.49,Alta
66,Risaralda,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.9905,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9905,99.05000000000001,Alta
68,Santander,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.893,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.893,89.3,Media
70,Sucre,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.9997,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9997,99.97,Alta
